id,gen_size,gen_count,mut,cross,elitism,t_size,time,score,satisfied,n_var,n_clause
0,100,20,0.05,0.7,1,0.1,0.1137704849243164,0.9668812173518057,0.9714285714285714,50,350
1,100,50,0.05,0.7,1,0.1,0.18789148330688477,0.9703775153304565,0.9742857142857143,50,350
2,100,80,0.05,0.7,1,0.1,0.2343761920928955,0.9647760163524869,0.9685714285714285,50,350
3,100,110,0.05,0.7,1,0.1,0.3741445541381836,0.9679861458096752,0.9714285714285714,50,350
4,100,140,0.05,0.7,1,0.1,0.5141701698303223,0.9543440835793777,0.9571428571428572,50,350
5,100,170,0.05,0.7,1,0.1,0.9243762493133545,0.9620666818078583,0.9657142857142857,50,350
6,100,200,0.05,0.7,1,0.1,0.7996211051940918,0.9674058596411538,0.9714285714285714,50,350
7,100,230,0.05,0.7,1,0.1,1.0010097026824951,0.9589360436066319,0.9628571428571429,50,350
8,100,260,0.05,0.7,1,0.1,1.1274807453155518,0.9659127413127413,0.9685714285714285,50,350
9,100,290,0.05,0.7,1,0.1,1.4706244468688965,0.9651814217578923,0.9685714285714285,50,350
10,100,320,0.05,0.7,1,0.1,1.5980901718139648,0.9673184192595957,0.9714285714285714,50,350
11,100,350,0.05,0.7,1,0.1,1.8209147453308105,0.9576416534181239,0.96,50,350
12,100,380,0.05,0.7,1,0.1,2.131932497024536,0.9678510106745402,0.9714285714285714,50,350
13,100,410,0.05,0.7,1,0.1,2.55014705657959,0.9673184192595957,0.9714285714285714,50,350
14,100,440,0.05,0.7,1,0.1,2.677004098892212,0.9696541449012037,0.9742857142857143,50,350
15,100,470,0.05,0.7,1,0.1,3.109525203704834,0.9601125141948671,0.9628571428571429,50,350
16,100,20,0.05,0.7,1,0.1,0.044820547103881836,0.9800758415841584,0.984,50,250
17,100,50,0.05,0.7,1,0.1,0.11746478080749512,0.9802243564356437,0.984,50,250
18,100,80,0.05,0.7,1,0.1,0.21875667572021484,0.9735832343234323,0.976,50,250
19,100,110,0.05,0.7,1,0.1,0.3098337650299072,0.9806616501650165,0.984,50,250
20,100,140,0.05,0.7,1,0.1,0.4352090358734131,0.9754970297029703,0.98,50,250
21,100,170,0.05,0.7,1,0.1,0.5565917491912842,0.9772874587458745,0.98,50,250
22,100,200,0.05,0.7,1,0.1,0.6968724727630615,0.979613795379538,0.984,50,250
23,100,230,0.05,0.7,1,0.1,0.8687751293182373,0.9806616501650165,0.984,50,250
24,100,260,0.05,0.7,1,0.1,1.047175407409668,0.9803728712871287,0.984,50,250
25,100,290,0.05,0.7,1,0.1,1.2220861911773682,0.9774607260726073,0.98,50,250
26,100,320,0.05,0.7,1,0.1,1.4375486373901367,0.9769574257425743,0.98,50,250
27,100,350,0.05,0.7,1,0.1,1.6335933208465576,0.9807111551155115,0.984,50,250
28,100,380,0.05,0.7,1,0.1,1.8613152503967285,0.980636897689769,0.984,50,250
29,100,410,0.05,0.7,1,0.1,2.093261957168579,0.9771554455445544,0.98,50,250
30,100,440,0.05,0.7,1,0.1,2.36836314201355,0.9774772277227722,0.98,50,250
31,100,470,0.05,0.7,1,0.1,2.663647174835205,0.9765283828382838,0.98,50,250
32,100,20,0.05,0.7,1,0.1,0.04283785820007324,0.9733563575042159,0.976,50,250
33,100,50,0.05,0.7,1,0.1,0.12082719802856445,0.9730949747048904,0.976,50,250
34,100,80,0.05,0.7,1,0.1,0.20810508728027344,0.9804331871838111,0.984,50,250
35,100,110,0.05,0.7,1,0.1,0.31525540351867676,0.9851604721753794,0.988,50,250
36,100,140,0.05,0.7,1,0.1,0.44434142112731934,0.9770718381112984,0.98,50,250
37,100,170,0.05,0.7,1,0.1,0.5668056011199951,0.9804753456998314,0.984,50,250
38,100,200,0.05,0.7,1,0.1,0.729823112487793,0.9772826306913996,0.98,50,250
39,100,230,0.05,0.7,1,0.1,0.8961846828460693,0.9922373018549747,0.996,50,250
40,100,260,0.05,0.7,1,0.1,1.0365052223205566,0.977164586846543,0.98,50,250
41,100,290,0.05,0.7,1,0.1,1.2507009506225586,0.9922373018549747,0.996,50,250
42,100,320,0.05,0.7,1,0.1,1.4271328449249268,0.9920180775716695,0.996,50,250
43,100,350,0.05,0.7,1,0.1,1.6353440284729004,0.988167689713322,0.992,50,250
44,100,380,0.05,0.7,1,0.1,1.8491837978363037,0.990854502529511,0.996,50,250
45,100,410,0.05,0.7,1,0.1,2.0949606895446777,0.984359460370995,0.988,50,250
46,100,440,0.05,0.7,1,0.1,2.3454055786132812,0.988167689713322,0.992,50,250
47,100,470,0.05,0.7,1,0.1,2.6331753730773926,0.984013760539629,0.988,50,250
48,100,20,0.05,0.7,1,0.1,0.03948497772216797,0.9917473777462792,0.995,50,200
49,100,50,0.05,0.7,1,0.1,0.10955023765563965,0.9964989369241672,1.0,50,200
50,100,80,0.05,0.7,1,0.1,0.19760441780090332,0.9968958185683912,1.0,50,200
51,100,110,0.05,0.7,1,0.1,0.2915003299713135,0.9921867824238129,0.995,50,200
52,100,140,0.05,0.7,1,0.1,0.40647077560424805,0.9968958185683912,1.0,50,200
53,100,170,0.05,0.7,1,0.1,0.5275990962982178,0.992711233167966,0.995,50,200
54,100,200,0.05,0.7,1,0.1,0.6600866317749023,0.9961304039688165,1.0,50,200
55,100,230,0.05,0.7,1,0.1,0.8136367797851562,0.996867469879518,1.0,50,200
56,100,260,0.05,0.7,1,0.1,0.9905123710632324,0.9927041459957476,0.995,50,200
57,100,290,0.05,0.7,1,0.1,1.2229559421539307,0.9964209780297661,1.0,50,200
58,100,320,0.05,0.7,1,0.1,1.3861403465270996,0.997363571934798,1.0,50,200
59,100,350,0.05,0.7,1,0.1,1.6014199256896973,0.996867469879518,1.0,50,200
60,100,380,0.05,0.7,1,0.1,1.8093414306640625,0.9970092133238838,1.0,50,200
61,100,410,0.05,0.7,1,0.1,2.0558972358703613,0.9966477675407512,1.0,50,200
62,100,440,0.05,0.7,1,0.1,2.3457159996032715,0.996966690290574,1.0,50,200
63,100,470,0.05,0.7,1,0.1,2.6075854301452637,0.9970092133238838,1.0,50,200
64,100,20,0.05,0.7,1,0.1,0.03567624092102051,0.9975543885971493,1.0,50,150
65,100,50,0.05,0.7,1,0.1,0.10097742080688477,0.9910444111027756,0.9933333333333333,50,150
66,100,80,0.05,0.7,1,0.1,0.1918621063232422,0.9901291822955738,0.9933333333333333,50,150
67,100,110,0.05,0.7,1,0.1,0.27479052543640137,0.9973743435858965,1.0,50,150
68,100,140,0.05,0.7,1,0.1,0.37984657287597656,0.9973743435858965,1.0,50,150
69,100,170,0.05,0.7,1,0.1,0.5118465423583984,0.9899941485371342,0.9933333333333333,50,150
70,100,200,0.05,0.7,1,0.1,0.6742556095123291,0.9966991747936984,1.0,50,150
71,100,230,0.05,0.7,1,0.1,0.7975547313690186,0.9973743435858965,1.0,50,150
72,100,260,0.05,0.7,1,0.1,0.9446513652801514,0.9964216054013504,1.0,50,150
