id,gen_size,gen_count,mut,cross,elitism,t_size,time,score,satisfied,n_var,n_clause
0,20.0,200,0.05,0.7,1,0.1,0.28585290908813477,0.9560236708845747,0.9596899224806201,150,645
1,50.0,200,0.05,0.7,1,0.1,0.7275824546813965,0.967507228158391,0.9720930232558139,150,645
2,80.0,200,0.05,0.7,1,0.1,1.1220853328704834,0.9737181551889758,0.9782945736434109,150,645
3,110.0,200,0.05,0.7,1,0.1,1.2966985702514648,0.9752708869466219,0.9798449612403101,150,645
4,140.0,200,0.05,0.7,1,0.1,1.6728103160858154,0.9800234218422019,0.9844961240310077,150,645
5,170.0,200,0.05,0.7,1,0.1,1.9432380199432373,0.9809489700319011,0.9844961240310077,150,645
6,200.0,200,0.05,0.7,1,0.1,2.2058887481689453,0.98182092667481,0.986046511627907,150,645
7,230.0,200,0.05,0.7,1,0.1,2.547224521636963,0.9863567354102677,0.9906976744186047,150,645
8,260.0,200,0.05,0.7,1,0.1,2.9705779552459717,0.9842226675995873,0.9891472868217054,150,645
9,290.0,200,0.05,0.7,1,0.1,3.281161308288574,0.9857065569299005,0.9906976744186047,150,645
10,320.0,200,0.05,0.7,1,0.1,3.6098475456237793,0.9879604615585309,0.9922480620155039,150,645
11,350.0,200,0.05,0.7,1,0.1,3.9445130825042725,0.9889522550193897,0.993798449612403,150,645
12,380.0,200,0.05,0.7,1,0.1,4.308366537094116,0.9897120714395834,0.993798449612403,150,645
13,410.0,200,0.05,0.7,1,0.1,4.657073259353638,0.9881542402428757,0.9922480620155039,150,645
14,440.0,200,0.05,0.7,1,0.1,6.532762765884399,0.9902704125801977,0.9953488372093023,150,645
15,470.0,200,0.05,0.7,1,0.1,6.592126369476318,0.9847351612252885,0.9891472868217054,150,645
16,20.0,200,0.05,0.7,1,0.1,0.17910432815551758,0.9768764204163265,0.9813953488372092,100,430
17,50.0,200,0.05,0.7,1,0.1,0.4812932014465332,0.9850984762195176,0.9883720930232558,100,430
18,80.0,200,0.05,0.7,1,0.1,1.2740135192871094,0.984392729979641,0.9883720930232558,100,430
19,110.0,200,0.05,0.7,1,0.1,1.0222885608673096,0.9864173849092818,0.9906976744186047,100,430
20,140.0,200,0.05,0.7,1,0.1,1.3764166831970215,0.9880448434515108,0.9906976744186047,100,430
21,170.0,200,0.05,0.7,1,0.1,1.6602458953857422,0.9873583798957838,0.9906976744186047,100,430
22,200.0,200,0.05,0.7,1,0.1,1.7713208198547363,0.9896838446981587,0.9930232558139535,100,430
23,230.0,200,0.05,0.7,1,0.1,2.065847635269165,0.9882029614615377,0.9906976744186047,100,430
24,260.0,200,0.05,0.7,1,0.1,2.772423028945923,0.9895951443510704,0.9930232558139535,100,430
25,290.0,200,0.05,0.7,1,0.1,3.8242220878601074,0.989510300540812,0.9930232558139535,100,430
26,320.0,200,0.05,0.7,1,0.1,3.242783546447754,0.9853645772607825,0.9883720930232558,100,430
27,350.0,200,0.05,0.7,1,0.1,3.246856212615967,0.9866063552139481,0.9906976744186047,100,430
28,380.0,200,0.05,0.7,1,0.1,3.7019081115722656,0.9900155068655324,0.9930232558139535,100,430
29,410.0,200,0.05,0.7,1,0.1,3.856393814086914,0.9900386460865119,0.9930232558139535,100,430
30,440.0,200,0.05,0.7,1,0.1,4.163822889328003,0.9897956842662265,0.9930232558139535,100,430
31,470.0,200,0.05,0.7,1,0.1,4.998336553573608,0.9915928035229016,0.9953488372093023,100,430
32,20.0,200,0.05,0.7,1,0.1,0.2642545700073242,0.9609294285599094,0.9654714475431607,175,753
33,50.0,200,0.05,0.7,1,0.1,0.6286959648132324,0.9705419994355604,0.9747675962815405,175,753
34,80.0,200,0.05,0.7,1,0.1,1.128098964691162,0.9749117055238109,0.9787516600265604,175,753
35,110.0,200,0.05,0.7,1,0.1,1.4681437015533447,0.972668607996716,0.9760956175298805,175,753
36,140.0,200,0.05,0.7,1,0.1,1.7846333980560303,0.978566140222917,0.9827357237715804,175,753
37,170.0,200,0.05,0.7,1,0.1,2.1397616863250732,0.97510489779612,0.9787516600265604,175,753
