id,gen_size,gen_count,mut,cross,elitism,t_size,time,score,satisfied,n_var,n_clause
0,100,200,0.001,0.7,1,0.1,0.8642268180847168,0.9625595275948217,0.9657142857142857,50,350
1,100,200,0.051000000000000004,0.7,1,0.1,0.7653341293334961,0.9703775153304565,0.9742857142857143,50,350
2,100,200,0.101,0.7,1,0.1,0.7685525417327881,0.9638380195321371,0.9685714285714285,50,350
3,100,200,0.15100000000000002,0.7,1,0.1,0.7787187099456787,0.9558531001589824,0.96,50,350
4,100,200,0.201,0.7,1,0.1,0.7752993106842041,0.9462558255734727,0.9485714285714286,50,350
5,100,200,0.251,0.7,1,0.1,0.7856404781341553,0.9443798319327731,0.9485714285714286,50,350
6,100,200,0.001,0.7,1,0.1,0.6776459217071533,0.9763138613861386,0.98,50,250
7,100,200,0.051000000000000004,0.7,1,0.1,0.6777801513671875,0.9806616501650165,0.984,50,250
8,100,200,0.101,0.7,1,0.1,0.6934795379638672,0.9798365676567657,0.984,50,250
9,100,200,0.15100000000000002,0.7,1,0.1,0.7361655235290527,0.9724116171617162,0.976,50,250
10,100,200,0.201,0.7,1,0.1,0.7277603149414062,0.9641615841584158,0.968,50,250
11,100,200,0.251,0.7,1,0.1,0.735140323638916,0.9531479207920792,0.956,50,250
12,100,200,0.001,0.7,1,0.1,0.660057783126831,0.9827237099494097,0.988,50,250
13,100,200,0.051000000000000004,0.7,1,0.1,0.6873643398284912,0.9922373018549747,0.996,50,250
14,100,200,0.101,0.7,1,0.1,0.7291200160980225,0.9883278920741989,0.992,50,250
15,100,200,0.15100000000000002,0.7,1,0.1,0.701228141784668,0.9715856998313659,0.976,50,250
16,100,200,0.201,0.7,1,0.1,0.7253973484039307,0.9649051602023608,0.968,50,250
17,100,200,0.251,0.7,1,0.1,0.7362432479858398,0.9585421247892074,0.964,50,250
18,100,200,0.001,0.7,1,0.1,0.647808313369751,0.9960311835577604,1.0,50,200
19,100,200,0.051000000000000004,0.7,1,0.1,0.6747951507568359,0.996867469879518,1.0,50,200
20,100,200,0.101,0.7,1,0.1,0.6589131355285645,0.9930301559177888,0.995,50,200
21,100,200,0.15100000000000002,0.7,1,0.1,0.6644556522369385,0.9870596031183557,0.99,50,200
22,100,200,0.201,0.7,1,0.1,0.6832797527313232,0.98246396172927,0.985,50,200
23,100,200,0.251,0.7,1,0.1,0.6858296394348145,0.9765075832742736,0.98,50,200
24,100,200,0.001,0.7,1,0.1,0.6351523399353027,0.9972993248312078,1.0,50,150
