tBB,tH,err,brutOK,errH,tDC,n,tDW
24.6413611928888,0.08361710938413555,True,True,0.0,539.988731208723,27,297.36776801291853
37.012231409211054,0.08530979707945593,True,True,0.0,317.9875368784581,27,216.84211928566748
33.94285042720315,0.08515088030702274,True,True,0.0,359.25762553233653,27,181.8212746964911
22.847037848518934,0.08408342041204636,True,True,0.0015151515151515152,481.5224845893681,27,222.8015504396436
10.202744440584068,0.08524471062854903,True,True,0.0,558.0655532539822,27,294.50078937225044
7.6156693858696345,0.08500756105666059,True,True,0.006589785831960461,298.14645188162103,27,183.08115138027532
69.39676313120272,0.0854435934996658,True,True,0.0,407.3885463100548,27,166.1904558694611
4.110472894909665,0.08574583418002087,True,True,0.007692307692307693,452.4311738088727,27,199.24891140544787
74.71036608330905,0.08563515366684538,True,True,0.0,436.26401419751346,27,233.00756320822984
60.93395341304131,0.08513823241949944,True,True,0.0,695.4323863610625,27,288.5777418850921
11.203048225226146,0.08528023299704161,True,True,0.0,492.87219042889774,27,261.31557634410757
174.75203557738237,0.08466271731682655,True,True,0.0,593.3359725167975,27,317.991249163502
4.538240531872818,0.08627543508181465,True,True,0.0,427.39580259658396,27,221.13560734909365
111.7172750898383,0.08480583649695365,True,True,0.0,465.55808377452195,27,335.7271445649011
41.06241588085664,0.08425616341107363,True,True,0.0,506.4551867544651,27,285.7477346260566
138.49800192242998,0.08583793469815502,True,True,0.0030627871362940277,602.3555797873996,27,314.0479451311486
3.5283498588309747,0.08520275650034967,True,True,0.009569377990430622,707.467352738604,27,340.6966998507934
8.821523202081712,0.08467981273990682,True,True,0.0014064697609001407,506.3966264715418,27,235.23472950328141
6.64813041727504,0.08369409806517396,True,True,0.0,558.7390864966437,27,343.75333270457173
115.62311700545251,0.08571688437946524,True,True,0.0,608.1636547460221,27,381.38659100513905
101.9259612255085,0.08559502798447645,True,True,0.016845329249617153,444.59756440483034,27,310.7100529887248
128.34655700135045,0.08466892120570967,True,True,0.004807692307692308,543.2134302100167,27,330.5829815965678
19.247274971208892,0.08573333987628955,True,True,0.0,697.8345623550316,27,269.1845728808807
15.917661502802122,0.08600877298735046,True,True,0.0,575.781516788993,27,345.1775089904134
106.27368075906166,0.08686885433073287,True,True,0.0,437.81076380982995,27,227.92088529095054
43.32959410088251,0.08559183541181951,True,True,0.0014619883040935672,485.4944373946637,27,249.3509636959061
101.09923231357243,0.08576819549282783,True,True,0.0,695.7518113000939,27,229.14853000547737
24.303216099118192,0.08497799494778047,True,True,0.0,453.741852613166,27,218.6314323493703
33.85878653886418,0.08423786129922062,True,True,0.0,460.35827337764204,27,271.12400666293166
