tDC,brutOK,tBB,err,tDW,errH,n,tH
399.6775838313624,True,0.30826035544184005,True,279.93355787475593,0.0,27,0.0872104042685843
387.29316733467084,True,0.268067657765362,True,236.22234920039773,0.0,27,0.08675015988196975
341.0168428838785,True,0.29475516855962125,True,220.88514981706712,0.0,27,0.0872853904569678
770.933595020324,True,0.26296152523233407,True,327.3579267385815,0.0,27,0.08677860241052564
560.6274785241112,True,0.44852789361837253,True,300.4951445036568,0.0,27,0.08661111844048801
643.738366663456,True,0.25176705644936426,True,339.158477294924,0.0015408320493066256,27,0.08708012662710753
545.3482535085641,True,0.24192378871489448,True,315.89992098244176,0.0,27,0.08671355804987978
659.9602066756537,True,0.25559474560216394,True,367.2683199789996,0.0,27,0.08704927289387682
569.5381557452492,True,0.41848964721408255,True,454.2479692026973,0.0,27,0.08673465527537022
481.74476041458547,True,0.35703093455182977,True,351.35580669157207,0.0,27,0.08629821805597336
676.5868369645128,True,0.2877329013454331,True,308.9869064860977,0.004155124653739612,27,0.08645346080453792
619.6583232376724,True,0.44635261192481235,True,399.1109369865929,0.0,27,0.08752690029796838
518.5769874951802,True,0.4684526905683534,True,312.9164431510227,0.0,27,0.08697374426914821
587.515214283485,True,0.23048388703826317,True,325.8521434451853,0.0,27,0.08683651925228748
443.03258396685123,True,0.4140188920384827,True,376.17285165470093,0.0,27,0.08712599268362956
484.2671974096447,True,0.4476546025692505,True,327.65048000562405,0.0,27,0.08663808798024149
532.8339074621908,True,0.30170744279055456,True,292.94268699595705,0.0,27,0.08708359588632596
745.8741509666046,True,0.15940569269863175,True,296.08159462804906,0.0,27,0.08659819003921984
636.2665602937341,True,0.41751081400563506,True,300.03431500517763,0.0,27,0.086409337957532
530.2250402164645,True,0.2372967774023814,True,322.57972957034195,0.0,27,0.08738857871426661
535.6508317636326,True,0.3429695959404723,True,370.59559347108006,0.0,27,0.08606573412128249
457.16205541975796,True,0.1404149775304251,True,226.58006008714437,0.0,27,0.08721082909740603
455.85066699422896,True,0.20685292380818768,True,208.74173534949395,0.0,27,0.08654578017714924
358.5034553349639,True,0.21281888590302336,True,226.4885075432672,0.0,27,0.0867512024593812
679.7063440705339,True,0.2604677353236006,True,445.0524997897446,0.0,27,0.08699269193517409
383.94791799752664,True,0.2550854608278,True,255.44616220415466,0.0,27,0.08699762864040148
478.64795103669167,True,0.46164495615401485,True,290.43318500043824,0.0,27,0.08651389277507425
582.9498382518068,True,0.36426888538786345,True,371.09160784166306,0.0,27,0.086927393441469
489.36197799630463,True,0.40365156449523204,True,273.5817727839781,0.0,27,0.08701754666143263
