tDC,brutOK,tBB,err,tDW,errH,n,tH
541.3431782508269,True,0.24450438784008405,True,325.8357234299183,0.0,27,0.08643954538353424
316.5039368572512,True,0.2726804184161331,True,250.52690278324818,0.0,27,0.08714525419434196
364.78655649504316,True,0.14008837246555558,True,210.71901589378035,0.0,27,0.08717408958562853
473.0790772009641,True,0.2197431425999359,True,247.31626720167696,0.004219409282700422,27,0.08728761611638046
555.854277452454,True,0.3616937679914685,True,332.43446301535835,0.0,27,0.08675915840161784
292.842329130508,True,0.20398172219276553,True,205.07783291395754,0.0,27,0.08671219905359603
399.6084436851864,True,0.28999603389293804,True,183.7953559946842,0.0029985007496251873,27,0.08750441910600754
447.05155161209404,True,0.23900375837036744,True,228.40783910360187,0.0,27,0.0868273911462194
432.39074419252574,True,0.3451725134624939,True,259.5083944551233,0.0,27,0.08698414254113646
688.2627573019514,True,0.25690545196661646,True,321.63065056582644,0.0,27,0.08692104070958319
483.759538969025,True,0.17122446162085012,True,288.8401100062765,0.0,27,0.0867655520960064
583.5750179830939,True,0.5281831387066714,True,351.1272586017315,0.0,27,0.08722031753527518
423.8205370027572,True,0.17339999006695056,True,250.1934844069183,0.0,27,0.08776680453424428
464.0256365761161,True,0.5784116451011495,True,380.51610948362696,0.0,27,0.08722226958048732
505.6955729960464,True,0.2278545695313489,True,315.5271124560386,0.0,27,0.08656547119181084
607.0727597689256,True,0.8240803770452281,True,350.9444687182882,0.0,27,0.08667750388665434
707.7597640454769,True,0.36047497838988496,True,384.98991933496046,0.0,27,0.08732802688888701
499.27791841328144,True,0.27823390194074327,True,259.673362882394,0.0,27,0.08726370416426212
554.6032779966481,True,0.3625993608842646,True,386.5957956683512,0.0,27,0.08760678059288197
608.5342372534797,True,0.7861044213066665,True,428.0302765779197,0.0027739251040221915,27,0.08655870570023169
461.75321456976235,True,0.7457581904307796,True,364.99931030751515,0.0027434842249657062,27,0.08589746924851001
531.6720909904689,True,0.44831308975976286,True,366.86302232556045,0.0,27,0.08703346479639747
682.7732139887909,True,0.20735324176564826,True,295.3251819999423,0.0,27,0.08666328620721243
566.0454752505757,True,0.285873179132952,True,385.47120600317913,0.0,27,0.08703801382025425
435.2652238216251,True,0.3023308214501901,True,255.146952242487,0.0,27,0.08718837591019593
480.283727357164,True,0.31771289344986786,True,276.9285313422895,0.0,27,0.08722156430683248
680.1477396705499,True,0.35757073408163187,True,254.116719459287,0.0,27,0.08683057292861034
