tDC,tDW,err,tH,errH,n,tBB,brutOK
617.8618811245542,330.3708679353197,True,0.08093715618826568,0.011235955056179775,27,1450.5879459902644,True
434.21406138010997,282.85625435904984,True,0.08009427844254946,0.0,27,450.33959997817874,True
936.527181789279,519.1974157674445,True,0.08080287133855409,0.026690391459074734,27,7421.482118777931,True
633.8398879992643,406.6860412519115,True,0.08065874480749238,0.0,27,1109.6631449181587,True
688.6934389892433,457.3710158932954,True,0.08077906526236409,0.034623217922606926,27,4883.853320963681,True
682.223091999601,408.77514307309565,True,0.08008435098314758,0.014814814814814815,27,2758.8805658742785,True
519.5364162274119,347.0664477042322,True,0.08065706258751487,0.0021598272138228943,27,1799.8012225143611,True
557.8835305059329,393.6492536837856,True,0.08061937513327434,0.010330578512396695,27,2861.6503139492124,True
578.4034037496895,343.9883930009923,True,0.08203826012539933,0.001893939393939394,27,1287.466736510396,True
804.5268903564041,430.63012163408774,True,0.08078104231554056,0.015384615384615385,27,588.6350947548635,True
473.50273048505187,290.75995324563013,True,0.08006307285829369,0.009689922480620155,27,1192.7095646969974,True
581.1225507350173,348.92672636280105,True,0.08072538183996726,0.01876172607879925,27,2521.9530458562076,True
569.3184240080882,387.1390630762714,True,0.08009635645286908,0.0,27,526.738420536276,True
425.2778408329256,328.95213446269435,True,0.0804861237213207,0.0,27,116.13808052900893,True
492.8931476082653,406.19949816027656,True,0.08103316132896261,0.0,27,872.3584106968095,True
567.3550707579125,337.2681950817683,True,0.08138878551505432,0.0,27,1178.5554439993575,True
457.2335431817919,251.91139446963606,True,0.08000413687483982,0.0056925996204933585,27,1133.1041653174907,True
392.05623833307374,246.3073591934517,True,0.08042901710878006,0.014466546112115732,27,1508.108703031515,True
709.5947531384548,468.2756303111091,True,0.08073758514500999,0.005628517823639775,27,4069.8293840978295,True
658.7980268523097,363.85769169562707,True,0.0800144816470931,0.0,27,827.1009710151702,True
600.8867168566212,458.6574999149889,True,0.08178900522216215,0.0,27,588.7926806850979,True
553.046686005675,384.9446194944903,True,0.08052296080018617,0.0,27,316.98324950411916,True
517.3133708950546,390.3823666817819,True,0.0813591518988727,0.0,27,3416.8750238604844,True
835.9864689875394,471.90959388390183,True,0.08177202271831022,0.009724473257698542,27,5058.367883088067,True
461.27262448426336,347.6009434255372,True,0.08176015021015727,0.0,27,403.41875824378803,True
771.7220124710972,468.26072628609836,True,0.08111733752447502,0.007207207207207207,27,1212.8663844196126,True
561.2818216322921,335.35019857143715,True,0.08188920214255009,0.0,27,1203.6395784234628,True
