tDC,tDW,err,tH,errH,n,tBB,brutOK
651.1269594609205,385.4648649188069,True,0.08089992022250188,0.0,27,1162.4515259172767,True
415.96548618205514,290.61704816515834,True,0.08036631508219462,0.004545454545454545,27,2294.2803014302626,True
497.79677719343454,422.7299320892515,True,0.08041632710400923,0.0,27,1502.6692929677665,True
546.4628725571351,410.95181692314026,True,0.08068121319817985,0.0,27,2785.7957989908755,True
490.34061941783875,290.38734282093014,True,0.08066188267418013,0.0,27,317.57827537049627,True
430.9222731866281,333.73160513916184,True,0.08005680437581973,0.0,27,635.9307882376015,True
617.5732421106659,400.32548183808103,True,0.080221564498586,0.0,27,1547.9554039193317,True
459.4134863000363,311.9173585000681,True,0.08081360916207664,0.006263048016701462,27,1495.3690144466236,True
594.448533229297,364.93219478199114,True,0.08098967680786152,0.007476635514018692,27,1684.3872474273667,True
546.4866357700279,376.42486391660685,True,0.07982651859875899,0.016736401673640166,27,521.840802161023,True
447.3226625387641,262.0266932552974,True,0.08013386586794082,0.0,27,336.8626509094611,True
408.5316547425464,274.46755744879033,True,0.0807094205032944,0.0,27,1519.846213515848,True
429.03922544792295,265.0204668364798,True,0.08064900319323542,0.011037527593818985,27,1183.6121599966039,True
603.189947491046,440.74720199304545,True,0.079712288302224,0.0,27,495.98153796978295,True
615.4556341061834,298.7309143645689,True,0.0811125133406573,0.009633911368015413,27,181.49995230711426,True
540.5393964352293,325.7637556021412,True,0.08091303750950962,0.0,27,10793.182059191167,True
712.7794872836342,392.87577317251515,True,0.08136834613945862,0.011864406779661017,27,1647.6497785188258,True
573.3437757589854,283.9643866344191,True,0.08051003923530697,0.016483516483516484,27,1312.999729687969,True
477.55903168581426,269.5991972125032,True,0.0800705089027564,0.0,27,6501.557369949296,True
