n,tBB,brutOK,tH,tDC,errH,err,tDW
27,61.77134746867051,True,0.08339999905245893,281.14088023464905,0.0,True,67.74654024765405
27,564.6335124911275,True,0.08300539819046368,226.2213647217405,0.00436046511627907,True,56.949976390099216
27,245.92197382384362,True,0.08429287444382248,304.7678559960332,0.010619469026548672,True,98.11669824179262
27,923.5680461861193,True,0.0828784015368065,267.08933817119237,0.0,True,86.05424128064331
27,1545.1293419270467,True,0.08148245918005578,230.87020376918926,0.0,True,67.73171620443463
27,355.5739623888468,True,0.08342221143262028,205.65048628486693,0.005376344086021506,True,65.66354044092199
27,335.39052550414846,True,0.08287260777279278,228.03806413763337,0.0,True,66.44633932039142
27,11217.77887409553,True,0.08336802535246433,182.6695300017794,0.011824324324324325,True,54.73403109923251
27,3186.3087380770594,True,0.08250647152309461,241.44458010559902,0.005813953488372093,True,74.11345538905641
27,680.6245847006461,True,0.08239309448931736,179.65813270873494,0.0,True,55.159890522352526
27,144.7845641971351,True,0.08298742738768722,219.17467808816582,0.012477718360071301,True,68.8452717796382
27,565.909946836265,True,0.0819702202619767,220.84395554636353,0.0,True,86.25277550891042
27,1438.2420287001878,True,0.08204227443788392,201.72913195953393,0.008565310492505354,True,78.2728007151967
27,439.2639550173448,True,0.08310909987479176,256.9069523658407,0.020933977455716585,True,73.28051370774013
27,3931.284116813913,True,0.08152042435744843,196.50358104147017,0.0038461538461538464,True,66.2834803853184
27,1539.3197055673227,True,0.08060294823363054,266.40931622953053,0.0,True,85.86197818934532
27,476.6974180108971,True,0.08225709093741125,251.18314914748464,0.00718132854578097,True,83.31065832132126
27,346.2772465011637,True,0.08274224144001788,218.62029918173158,0.0,True,73.08336108690128
27,614.0722882867392,True,0.08190826431488722,211.22778543149647,0.0,True,60.797078603947604
27,432.64801891266626,True,0.08254215107806206,175.48305675154552,0.012531328320802004,True,68.58316734562526
27,579.7282853745855,True,0.08287999001003084,186.38111192446488,0.0,True,48.996497526543564
27,527.457437891927,True,0.08396130210143317,239.12715390324593,0.014285714285714285,True,70.02619198772689
27,3081.3285829499364,True,0.08327995880794295,197.8606933914125,0.017077798861480076,True,87.290116091026
27,1519.3828230258077,True,0.08444431221488971,215.45812274005428,0.01644736842105263,True,63.321218718416425
27,495.86269412086244,True,0.08277595306554211,236.9615796155163,0.0,True,60.65093054447645
27,218.60808499955706,True,0.08291923901641182,200.86758416922143,0.0,True,56.79466154436919
27,571.9632739866419,True,0.08184852970962965,244.26092370413244,0.0,True,82.19963600082944
27,1041.8430594727397,True,0.08335184657404154,288.0894239882336,0.02127659574468085,True,95.39817744203341
27,2309.34154195711,True,0.0826892404793875,250.29222610847728,0.014545454545454545,True,84.66166081228133
27,284.28688446680707,True,0.08336422605536004,201.3105993003895,0.0,True,55.348742088406446
27,2812.535913893953,True,0.08072436393484114,238.69030839996412,0.0,True,84.56769191770483
27,209.06288040251556,True,0.08237669186111088,222.63724012935364,0.013745704467353952,True,69.12525750036973
27,427.7180141811682,True,0.08305300441574574,249.03036204632372,0.006896551724137931,True,59.29944693974881
27,998.5648552537896,True,0.08186475114863746,265.93736521641,0.005291005291005291,True,107.18818224014957
27,3587.6452040392905,True,0.0823146423697535,309.302246561856,0.01565217391304348,True,92.82094349135768
27,1402.9250336655725,True,0.08166640170298912,254.97015068111452,0.0189328743545611,True,80.25715779137587
