repeatB,error,n,timeHeu,repeatH,timeBrut
1000,0.0,4,0.006481033000454772,1000,0.03340798700082814
1000,0.0,4,0.005320231000951026,1000,0.032020346996432636
1000,0.11224489795918367,4,0.005390420003095642,1000,0.030057718002353795
1000,0.0,4,0.006380883001838811,1000,0.03897307499573799
1000,0.0,4,0.004275642000720836,1000,0.025152684000204317
1000,0.0,4,0.00739118100318592,1000,0.03906372700294014
1000,0.0,4,0.006256499000301119,1000,0.03751915699831443
1000,0.0,4,0.006424321996746585,1000,0.035312788997543976
1000,0.04680851063829787,4,0.0042395349955768324,1000,0.02490915299858898
1000,0.0,4,0.005323723002220504,1000,0.025669285998446867
1000,0.02356902356902357,4,0.006368520997057203,1000,0.036195770000631455
1000,0.0,4,0.005365486998925917,1000,0.032274422999762464
1000,0.0,4,0.006319494001218118,1000,0.03551797700492898
1000,0.0,4,0.0064952800021274015,1000,0.0384550759990816
1000,0.0,4,0.006252307997783646,1000,0.037547302003076766
1000,0.0,4,0.005186208996747155,1000,0.027287954995699693
1000,0.0,4,0.00630503699358087,1000,0.03327305699349381
1000,0.0,4,0.00546940800268203,1000,0.025257093002437614
1000,0.0,4,0.006238760004634969,1000,0.03712987200560747
1000,0.0,4,0.004331723001087084,1000,0.02525911900011124
1000,0.0,4,0.004415390001668129,1000,0.027490978995047044
1000,0.0,4,0.007247172005008906,1000,0.03911841100489255
1000,0.0,4,0.005311710003297776,1000,0.032315068994648755
1000,0.0,4,0.006310973003564868,1000,0.037358805995609146
1000,0.18575063613231552,4,0.005369468002754729,1000,0.034407879000355024
1000,0.24745762711864408,4,0.006219763003173284,1000,0.036605448003683705
1000,0.0,4,0.006281640999077354,1000,0.029104619003192056
1000,0.016304347826086956,4,0.006211101994267665,1000,0.03476371100259712
1000,0.0914826498422713,4,0.006288903998211026,1000,0.032739134003350046
1000,0.0,4,0.006251260994758923,1000,0.030731110004126094
1000,0.0,4,0.005367792000470217,1000,0.03263905500352848
1000,0.0,4,0.0053823179987375624,1000,0.02595912000106182
1000,0.0,4,0.006286809002631344,1000,0.03359466800611699
1000,0.0,4,0.006161377001262736,1000,0.0351948299939977
1000,0.0,4,0.004333749006036669,1000,0.02477519999956712
1000,0.0,4,0.006414126997697167,1000,0.03406803999678232
1000,0.0,4,0.0072792980063240975,1000,0.03898578599910252
1000,0.36363636363636365,4,0.006128483000793494,1000,0.030523408000590283
1000,0.0,4,0.00533035699481843,1000,0.03013153800566215
1000,0.0,4,0.004377467994345352,1000,0.024952314000984188
1000,0.0,4,0.00627032700140262,1000,0.028268292000575457
1000,0.0,4,0.006218226997589227,1000,0.03813088100287132
1000,0.0,4,0.00641957300103968,1000,0.03839173199958168
1000,0.0,4,0.006187637001858093,1000,0.037608621998515446
1000,0.0,4,0.006470067004556768,1000,0.036318826001661364
1000,0.0,4,0.0053396459989016876,1000,0.029778989002807066
1000,0.0,4,0.0062815009951009415,1000,0.031737358003738336
1000,0.0,4,0.0064639919946785085,1000,0.028779726002539974
1000,0.0,4,0.006223603995749727,1000,0.030797037994489077
1000,0.0,4,0.006297633997746743,1000,0.03812508500413969
500,0.0,10,0.013452478000544943,1000,1.715782721992582
500,0.0,10,0.014579547001631,1000,1.5940806119906483
500,0.0,10,0.013346391999220941,1000,1.4818161860021064
500,0.0,10,0.016967148003459442,1000,1.4638552920077927
500,0.034643570952698204,10,0.015277312995749527,1000,2.287949101999402
500,0.0,10,0.015319076999730894,1000,2.1702986560121644
500,0.0,10,0.015297147998353466,1000,1.7361632760002976
500,0.0,10,0.014395310005056672,1000,1.733298322011251
500,0.011345218800648298,10,0.01353516800008947,1000,1.2021475419896888
500,0.03015873015873016,10,0.014688846000353806,1000,1.9918813120020786
500,0.0,10,0.013444864998746198,1000,1.3736045459954767
500,0.0,10,0.015405607999127822,1000,2.4937896100018406
500,0.09090909090909091,10,0.0149478099992848,1000,1.2316149079997558
500,0.0,10,0.013379636002355255,1000,1.6815792660054285
500,0.0,10,0.01445418499497464,1000,1.8589692700043088
500,0.06078767123287671,10,0.012681730004260316,1000,1.287862495999434
500,0.0,10,0.014516971001285128,1000,2.374802855993039
500,0.0,10,0.013456458997097798,1000,1.0183174999983748
500,0.0,10,0.013490051998815034,1000,1.2784774680039845
500,0.0,10,0.013464908995956648,1000,0.887153119998402
500,0.0,10,0.01457996599492617,1000,2.2640728059923276
500,0.0,10,0.013500806999218185,1000,2.0595282380090794
500,0.020542317173377157,10,0.014536665999912657,1000,1.8073125100054312
500,0.0,10,0.01347042599809356,1000,1.5714034580014413
500,0.03571428571428571,10,0.013622676000522915,1000,1.6135993439966114
500,0.0,10,0.014476881995506119,1000,1.911014758006786
500,0.08505997818974918,10,0.01356177699926775,1000,1.1964288080052938
500,0.0,10,0.01368462399841519,1000,1.4941361480014166
500,0.0,10,0.01558111399936024,1000,2.464254919992527
500,0.0,10,0.014410744006454479,1000,2.3588559919880936
