errH,tDC,n,tBB,brutOK,err,tH,tDW
0.0035714285714285713,614.5290512649808,27,4863.538254983723,True,True,0.0800558514124503,423.29286847432905
0.0020242914979757085,500.4282093141228,27,3949.5882340706885,True,True,0.08025646016407362,309.54887831467204
0.0,669.7809685886439,27,787.9685669516524,True,True,0.07967044224293278,406.1837884946726
0.0,650.3413931599686,27,1536.7475914536044,True,True,0.0805662871800096,393.987164075952
0.007246376811594203,514.6294227904745,27,360.8897988218814,True,True,0.07999499418967192,296.1149517504964
0.0,358.67348530043205,27,1535.0119749782607,True,True,0.08013200926620091,281.77233582691235
0.0,512.0280190215757,27,1194.2748355213553,True,True,0.08026609712456642,378.60844547573765
0.006932409012131715,637.8514027289514,27,3922.4451209884137,True,True,0.08023306721315067,438.17160663787615
0.0,521.8755925695101,27,1032.210345690449,True,True,0.07966212770300549,366.47031968459487
0.0,392.07026242123294,27,410.47243727371097,True,True,0.0803156673036349,329.26886385927594
0.0,431.09080546789545,27,1787.6973330276087,True,True,0.0802649903211846,342.82844708234603
0.006185567010309278,426.0856331834061,27,2810.638502938673,True,True,0.07965526105815805,310.1570524740964
0.0,599.7427256079391,27,352.75699966587126,True,True,0.08036386458650228,373.7958183941933
0.0,652.3418834299913,27,1023.4859060340871,True,True,0.08049789189618173,314.79180866541964
0.010771992818671455,669.9290365712451,27,846.639953320846,True,True,0.07952007101203731,441.7725670024414
0.007407407407407408,505.572927210273,27,413.2729643024504,True,True,0.07923882603998038,276.7816232258661
0.011131725417439703,540.3260606754985,27,264.73762920229797,True,True,0.08052099302076669,315.19986187728745
0.0,486.2760783871636,27,298.33177899542665,True,True,0.07992404686238053,296.2232850550208
0.006993006993006993,411.42974943310645,27,2935.342379147187,True,True,0.07983928757069819,322.19216094041866
0.005780346820809248,526.1998262463344,27,306.10256164800376,True,True,0.07991833379877485,349.6832647194554
0.0038022813688212928,510.1934746683886,27,379.76691578514874,True,True,0.08023973023946224,387.2582062613219
0.016293279022403257,415.1292387396097,27,3187.247175956145,True,True,0.07983572169162863,327.6999523397535
0.0,417.904333084483,27,69.43927443353459,True,True,0.08041547290615188,282.27313329903956
0.014336917562724014,765.9706226938093,27,5348.059428157285,True,True,0.08076600777806373,478.9275208953768
0.0,594.6797038777731,27,4855.917839799076,True,True,0.08054009038543612,491.17501601576805
0.0,593.2439703610726,27,221.38524963520467,True,True,0.07989748229763612,369.5387156286205
0.0,527.6380141990053,27,704.0037719998509,True,True,0.08073484920508084,312.08327080433565
0.014545454545454545,509.6974123217579,27,2077.7582190930843,True,True,0.07976318691305816,323.23552027034265
0.0,652.6753954323275,27,807.6141016402593,True,True,0.07982557356515486,340.7871983446447
0.0,611.623019358376,27,1569.9638969963416,True,True,0.0799773702992389,503.1624637647636
0.0,743.0814829810212,27,7331.961608957499,True,True,0.08070387068128816,445.1782302930951
0.0036101083032490976,585.0031402660534,27,4306.639815913513,True,True,0.07935489522429867,424.64775807986206
0.015473887814313346,486.6300588939339,27,4185.491603100672,True,True,0.08062734630813505,384.2769569212881
0.00196078431372549,469.6544947801158,27,3104.513387894258,True,True,0.08018657729349492,313.0319453775883
0.0,623.7294803722762,27,274.96939042716156,True,True,0.07963378123471394,376.0365089938904
0.011834319526627219,547.3129545700632,27,1518.709970987402,True,True,0.08028883148062639,324.1866356693208
0.0,439.201476729729,27,1865.8244300168008,True,True,0.07948056051676937,333.33372900572914
0.0,425.4496229219843,27,273.93546800594777,True,True,0.07865889305249234,313.66689886587363
0.005928853754940711,677.6717368380299,27,5987.473298097029,True,True,0.07924632208163974,492.2359466785565
0.0,548.9822416825014,27,3518.72279192321,True,True,0.08043433764675782,424.88664363256913
0.014861995753715499,336.3608636427671,27,818.9892259892076,True,True,0.07991532527632844,209.16526108656242
0.015594541910331383,416.0886895066748,27,1250.0586223322898,True,True,0.07924120541038268,251.68919226301733
0.0,357.96724800736854,27,932.3486039647833,True,True,0.0810264568115871,238.77842064248398
